viajeros,viajes,provincia_origen,provincia_origen_name,provincia_destino,provincia_destino_name,day,weekday,is_holiday_origen,is_holiday_destino,temp_origen,precip_origen,temp_destino,precip_destino,icon_origen_clear-day,icon_origen_cloudy,icon_origen_partly-cloudy-day,icon_origen_rain,icon_origen_wind,icon_destino_clear-day,icon_destino_cloudy,icon_destino_partly-cloudy-day,icon_destino_rain,icon_destino_wind,is_event_origen,is_event_destino
680,775,30,Murcia,28,Madrid,2022-09-01,4,0,0,28.2,0.0,24.5,0.0,0,0,1,0,0,0,0,1,0,0,0,0
278,433,30,Murcia,29,Málaga,2022-09-01,4,0,0,28.2,0.0,26.6,0.0,0,0,1,0,0,0,0,1,0,0,0,0
52,118,30,Murcia,41,Sevilla,2022-09-01,4,0,0,28.2,0.0,24.3,0.0,0,0,1,0,0,0,0,1,0,0,0,0
4802,4895,30,Murcia,46,Valencia/Valéncia,2022-09-01,4,0,0,28.2,0.0,26.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
267,299,29,Málaga,3,Alicante,2022-09-01,4,0,0,26.6,0.0,26.7,0.0,0,0,1,0,0,0,0,1,0,0,0,0
1301,1487,29,Málaga,8,Barcelona,2022-09-01,4,0,0,26.6,0.0,24.6,0.0,0,0,1,0,0,1,0,0,0,0,0,0
4139,4417,29,Málaga,28,Madrid,2022-09-01,4,0,0,26.6,0.0,24.5,0.0,0,0,1,0,0,0,0,1,0,0,0,0
549,683,29,Málaga,30,Murcia,2022-09-01,4,0,0,26.6,0.0,28.2,0.0,0,0,1,0,0,0,0,1,0,0,0,0
16297,16980,29,Málaga,41,Sevilla,2022-09-01,4,0,0,26.6,0.0,24.3,0.0,0,0,1,0,0,0,0,1,0,0,0,0
340,393,29,Málaga,46,Valencia/Valéncia,2022-09-01,4,0,0,26.6,0.0,26.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
103,111,41,Sevilla,3,Alicante,2022-09-01,4,0,0,24.3,0.0,26.7,0.0,0,0,1,0,0,0,0,1,0,0,0,0
1094,1295,41,Sevilla,8,Barcelona,2022-09-01,4,0,0,24.3,0.0,24.6,0.0,0,0,1,0,0,1,0,0,0,0,0,0
4323,4659,41,Sevilla,28,Madrid,2022-09-01,4,0,0,24.3,0.0,24.5,0.0,0,0,1,0,0,0,0,1,0,0,0,0
62,113,41,Sevilla,30,Murcia,2022-09-01,4,0,0,24.3,0.0,28.2,0.0,0,0,1,0,0,0,0,1,0,0,0,0
18717,19352,41,Sevilla,29,Málaga,2022-09-01,4,0,0,24.3,0.0,26.6,0.0,0,0,1,0,0,0,0,1,0,0,0,0
298,405,41,Sevilla,46,Valencia/Valéncia,2022-09-01,4,0,0,24.3,0.0,26.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
56892,59959,46,Valencia/Valéncia,3,Alicante,2022-09-01,4,0,0,26.4,0.0,26.7,0.0,0,0,1,0,0,0,0,1,0,0,0,0
3837,4026,46,Valencia/Valéncia,8,Barcelona,2022-09-01,4,0,0,26.4,0.0,24.6,0.0,0,0,1,0,0,1,0,0,0,0,0,0
4905,5378,46,Valencia/Valéncia,28,Madrid,2022-09-01,4,0,0,26.4,0.0,24.5,0.0,0,0,1,0,0,0,0,1,0,0,0,0
3931,4010,46,Valencia/Valéncia,30,Murcia,2022-09-01,4,0,0,26.4,0.0,28.2,0.0,0,0,1,0,0,0,0,1,0,0,0,0
336,392,46,Valencia/Valéncia,29,Málaga,2022-09-01,4,0,0,26.4,0.0,26.6,0.0,0,0,1,0,0,0,0,1,0,0,0,0
361,461,46,Valencia/Valéncia,41,Sevilla,2022-09-01,4,0,0,26.4,0.0,24.3,0.0,0,0,1,0,0,0,0,1,0,0,0,0
2584,2883,3,Alicante,8,Barcelona,2022-09-02,5,0,0,28.4,0.0,25.4,1.4,0,0,1,0,0,0,0,0,1,0,0,0
3288,3495,3,Alicante,28,Madrid,2022-09-02,5,0,0,28.4,0.0,23.5,0.0,0,0,1,0,0,0,0,1,0,0,0,0
67465,74134,3,Alicante,30,Murcia,2022-09-02,5,0,0,28.4,0.0,29.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0
159,220,3,Alicante,29,Málaga,2022-09-02,5,0,0,28.4,0.0,29.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
70,151,3,Alicante,41,Sevilla,2022-09-02,5,0,0,28.4,0.0,25.6,0.0,0,0,1,0,0,0,0,1,0,0,0,0
59021,61996,3,Alicante,46,Valencia/Valéncia,2022-09-02,5,0,0,28.4,0.0,28.7,0.0,0,0,1,0,0,0,0,1,0,0,0,0
2317,2565,8,Barcelona,3,Alicante,2022-09-02,5,0,0,25.4,1.4,28.4,0.0,0,0,0,1,0,0,0,1,0,0,0,0
8812,9432,8,Barcelona,28,Madrid,2022-09-02,5,0,0,25.4,1.4,23.5,0.0,0,0,0,1,0,0,0,1,0,0,0,0
1040,1188,8,Barcelona,30,Murcia,2022-09-02,5,0,0,25.4,1.4,29.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0
1089,1225,8,Barcelona,29,Málaga,2022-09-02,5,0,0,25.4,1.4,29.4,0.0,0,0,0,1,0,0,0,1,0,0,0,0
1555,1682,8,Barcelona,41,Sevilla,2022-09-02,5,0,0,25.4,1.4,25.6,0.0,0,0,0,1,0,0,0,1,0,0,0,0
3369,3556,8,Barcelona,46,Valencia/Valéncia,2022-09-02,5,0,0,25.4,1.4,28.7,0.0,0,0,0,1,0,0,0,1,0,0,0,0
3880,4102,28,Madrid,3,Alicante,2022-09-02,5,0,0,23.5,0.0,28.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
8894,9593,28,Madrid,8,Barcelona,2022-09-02,5,0,0,23.5,0.0,25.4,1.4,0,0,1,0,0,0,0,0,1,0,0,0
892,955,28,Madrid,30,Murcia,2022-09-02,5,0,0,23.5,0.0,29.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0
4086,4349,28,Madrid,29,Málaga,2022-09-02,5,0,0,23.5,0.0,29.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
4655,4918,28,Madrid,41,Sevilla,2022-09-02,5,0,0,23.5,0.0,25.6,0.0,0,0,1,0,0,0,0,1,0,0,0,0
5850,6384,28,Madrid,46,Valencia/Valéncia,2022-09-02,5,0,0,23.5,0.0,28.7,0.0,0,0,1,0,0,0,0,1,0,0,0,0
75115,81930,30,Murcia,3,Alicante,2022-09-02,5,0,0,29.0,0.0,28.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
1216,1371,30,Murcia,8,Barcelona,2022-09-02,5,0,0,29.0,0.0,25.4,1.4,0,0,1,0,0,0,0,0,1,0,0,0
763,838,30,Murcia,28,Madrid,2022-09-02,5,0,0,29.0,0.0,23.5,0.0,0,0,1,0,0,0,0,1,0,0,0,0
278,320,30,Murcia,29,Málaga,2022-09-02,5,0,0,29.0,0.0,29.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
80,111,30,Murcia,41,Sevilla,2022-09-02,5,0,0,29.0,0.0,25.6,0.0,0,0,1,0,0,0,0,1,0,0,0,0
5209,5294,30,Murcia,46,Valencia/Valéncia,2022-09-02,5,0,0,29.0,0.0,28.7,0.0,0,0,1,0,0,0,0,1,0,0,0,0
304,365,29,Málaga,3,Alicante,2022-09-02,5,0,0,29.4,0.0,28.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
995,1129,29,Málaga,8,Barcelona,2022-09-02,5,0,0,29.4,0.0,25.4,1.4,0,0,1,0,0,0,0,0,1,0,0,0
4689,4963,29,Málaga,28,Madrid,2022-09-02,5,0,0,29.4,0.0,23.5,0.0,0,0,1,0,0,0,0,1,0,0,0,0
725,811,29,Málaga,30,Murcia,2022-09-02,5,0,0,29.4,0.0,29.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0
17517,18073,29,Málaga,41,Sevilla,2022-09-02,5,0,0,29.4,0.0,25.6,0.0,0,0,1,0,0,0,0,1,0,0,0,0
181,210,29,Málaga,46,Valencia/Valéncia,2022-09-02,5,0,0,29.4,0.0,28.7,0.0,0,0,1,0,0,0,0,1,0,0,0,0
61,141,41,Sevilla,3,Alicante,2022-09-02,5,0,0,25.6,0.0,28.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
1186,1504,41,Sevilla,8,Barcelona,2022-09-02,5,0,0,25.6,0.0,25.4,1.4,0,0,1,0,0,0,0,0,1,0,0,0
4355,4601,41,Sevilla,28,Madrid,2022-09-02,5,0,0,25.6,0.0,23.5,0.0,0,0,1,0,0,0,0,1,0,0,0,0
90,150,41,Sevilla,30,Murcia,2022-09-02,5,0,0,25.6,0.0,29.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0
20281,20809,41,Sevilla,29,Málaga,2022-09-02,5,0,0,25.6,0.0,29.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
433,554,41,Sevilla,46,Valencia/Valéncia,2022-09-02,5,0,0,25.6,0.0,28.7,0.0,0,0,1,0,0,0,0,1,0,0,0,0
63275,66376,46,Valencia/Valéncia,3,Alicante,2022-09-02,5,0,0,28.7,0.0,28.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
3376,3543,46,Valencia/Valéncia,8,Barcelona,2022-09-02,5,0,0,28.7,0.0,25.4,1.4,0,0,1,0,0,0,0,0,1,0,0,0
4989,5523,46,Valencia/Valéncia,28,Madrid,2022-09-02,5,0,0,28.7,0.0,23.5,0.0,0,0,1,0,0,0,0,1,0,0,0,0
4084,4161,46,Valencia/Valéncia,30,Murcia,2022-09-02,5,0,0,28.7,0.0,29.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0
137,157,46,Valencia/Valéncia,29,Málaga,2022-09-02,5,0,0,28.7,0.0,29.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
392,512,46,Valencia/Valéncia,41,Sevilla,2022-09-02,5,0,0,28.7,0.0,25.6,0.0,0,0,1,0,0,0,0,1,0,0,0,0
2126,2301,3,Alicante,8,Barcelona,2022-09-03,6,0,0,26.8,0.0,24.7,1.3,0,0,1,0,0,0,0,0,1,0,0,0
2929,3156,3,Alicante,28,Madrid,2022-09-03,6,0,0,26.8,0.0,22.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
54042,58514,3,Alicante,30,Murcia,2022-09-03,6,0,0,26.8,0.0,27.6,0.1,0,0,1,0,0,0,0,0,1,0,0,0
163,207,3,Alicante,29,Málaga,2022-09-03,6,0,0,26.8,0.0,27.4,0.0,0,0,1,0,0,0,0,0,1,0,0,0
85,90,3,Alicante,41,Sevilla,2022-09-03,6,0,0,26.8,0.0,24.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0
53559,55589,3,Alicante,46,Valencia/Valéncia,2022-09-03,6,0,0,26.8,0.0,25.8,0.0,0,0,1,0,0,1,0,0,0,0,0,0
1677,1872,8,Barcelona,3,Alicante,2022-09-03,6,0,0,24.7,1.3,26.8,0.0,0,0,0,1,0,0,0,1,0,0,0,0
6724,7281,8,Barcelona,28,Madrid,2022-09-03,6,0,0,24.7,1.3,22.4,0.0,0,0,0,1,0,0,0,1,0,0,0,0
975,1116,8,Barcelona,30,Murcia,2022-09-03,6,0,0,24.7,1.3,27.6,0.1,0,0,0,1,0,0,0,0,1,0,0,0
863,953,8,Barcelona,29,Málaga,2022-09-03,6,0,0,24.7,1.3,27.4,0.0,0,0,0,1,0,0,0,0,1,0,0,0
1177,1289,8,Barcelona,41,Sevilla,2022-09-03,6,0,0,24.7,1.3,24.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0
2745,2880,8,Barcelona,46,Valencia/Valéncia,2022-09-03,6,0,0,24.7,1.3,25.8,0.0,0,0,0,1,0,1,0,0,0,0,0,0
2970,3196,28,Madrid,3,Alicante,2022-09-03,6,0,0,22.4,0.0,26.8,0.0,0,0,1,0,0,0,0,1,0,0,0,0
6587,7248,28,Madrid,8,Barcelona,2022-09-03,6,0,0,22.4,0.0,24.7,1.3,0,0,1,0,0,0,0,0,1,0,0,0
739,852,28,Madrid,30,Murcia,2022-09-03,6,0,0,22.4,0.0,27.6,0.1,0,0,1,0,0,0,0,0,1,0,0,0
2829,3018,28,Madrid,29,Málaga,2022-09-03,6,0,0,22.4,0.0,27.4,0.0,0,0,1,0,0,0,0,0,1,0,0,0
3372,3705,28,Madrid,41,Sevilla,2022-09-03,6,0,0,22.4,0.0,24.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0
3871,4207,28,Madrid,46,Valencia/Valéncia,2022-09-03,6,0,0,22.4,0.0,25.8,0.0,0,0,1,0,0,1,0,0,0,0,0,0
57843,62259,30,Murcia,3,Alicante,2022-09-03,6,0,0,27.6,0.1,26.8,0.0,0,0,0,1,0,0,0,1,0,0,0,0
1012,1151,30,Murcia,8,Barcelona,2022-09-03,6,0,0,27.6,0.1,24.7,1.3,0,0,0,1,0,0,0,0,1,0,0,0
802,916,30,Murcia,28,Madrid,2022-09-03,6,0,0,27.6,0.1,22.4,0.0,0,0,0,1,0,0,0,1,0,0,0,0
260,304,30,Murcia,29,Málaga,2022-09-03,6,0,0,27.6,0.1,27.4,0.0,0,0,0,1,0,0,0,0,1,0,0,0
66,113,30,Murcia,41,Sevilla,2022-09-03,6,0,0,27.6,0.1,24.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0
4257,4304,30,Murcia,46,Valencia/Valéncia,2022-09-03,6,0,0,27.6,0.1,25.8,0.0,0,0,0,1,0,1,0,0,0,0,0,0
300,342,29,Málaga,3,Alicante,2022-09-03,6,0,0,27.4,0.0,26.8,0.0,0,0,0,1,0,0,0,1,0,0,0,0
1024,1116,29,Málaga,8,Barcelona,2022-09-03,6,0,0,27.4,0.0,24.7,1.3,0,0,0,1,0,0,0,0,1,0,0,0
4124,4317,29,Málaga,28,Madrid,2022-09-03,6,0,0,27.4,0.0,22.4,0.0,0,0,0,1,0,0,0,1,0,0,0,0
649,674,29,Málaga,30,Murcia,2022-09-03,6,0,0,27.4,0.0,27.6,0.1,0,0,0,1,0,0,0,0,1,0,0,0
13693,14030,29,Málaga,41,Sevilla,2022-09-03,6,0,0,27.4,0.0,24.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0
359,389,29,Málaga,46,Valencia/Valéncia,2022-09-03,6,0,0,27.4,0.0,25.8,0.0,0,0,0,1,0,1,0,0,0,0,0,0
105,105,41,Sevilla,3,Alicante,2022-09-03,6,0,0,24.0,0.0,26.8,0.0,1,0,0,0,0,0,0,1,0,0,0,0
860,1015,41,Sevilla,8,Barcelona,2022-09-03,6,0,0,24.0,0.0,24.7,1.3,1,0,0,0,0,0,0,0,1,0,0,0
3883,4246,41,Sevilla,28,Madrid,2022-09-03,6,0,0,24.0,0.0,22.4,0.0,1,0,0,0,0,0,0,1,0,0,0,0
57,104,41,Sevilla,30,Murcia,2022-09-03,6,0,0,24.0,0.0,27.6,0.1,1,0,0,0,0,0,0,0,1,0,0,0
14379,14705,41,Sevilla,29,Málaga,2022-09-03,6,0,0,24.0,0.0,27.4,0.0,1,0,0,0,0,0,0,0,1,0,0,0
104,238,41,Sevilla,46,Valencia/Valéncia,2022-09-03,6,0,0,24.0,0.0,25.8,0.0,1,0,0,0,0,1,0,0,0,0,0,0
51997,54154,46,Valencia/Valéncia,3,Alicante,2022-09-03,6,0,0,25.8,0.0,26.8,0.0,1,0,0,0,0,0,0,1,0,0,0,0
2704,2835,46,Valencia/Valéncia,8,Barcelona,2022-09-03,6,0,0,25.8,0.0,24.7,1.3,1,0,0,0,0,0,0,0,1,0,0,0
4059,4424,46,Valencia/Valéncia,28,Madrid,2022-09-03,6,0,0,25.8,0.0,22.4,0.0,1,0,0,0,0,0,0,1,0,0,0,0
3060,3106,46,Valencia/Valéncia,30,Murcia,2022-09-03,6,0,0,25.8,0.0,27.6,0.1,1,0,0,0,0,0,0,0,1,0,0,0
188,219,46,Valencia/Valéncia,29,Málaga,2022-09-03,6,0,0,25.8,0.0,27.4,0.0,1,0,0,0,0,0,0,0,1,0,0,0
98,231,46,Valencia/Valéncia,41,Sevilla,2022-09-03,6,0,0,25.8,0.0,24.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0
2045,2385,3,Alicante,8,Barcelona,2022-09-04,7,0,0,25.8,0.0,25.6,0.0,0,0,1,0,0,0,0,1,0,0,0,0
4004,4183,3,Alicante,28,Madrid,2022-09-04,7,0,0,25.8,0.0,21.9,0.0,0,0,1,0,0,1,0,0,0,0,0,0
57958,61778,3,Alicante,30,Murcia,2022-09-04,7,0,0,25.8,0.0,27.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0
119,206,3,Alicante,29,Málaga,2022-09-04,7,0,0,25.8,0.0,27.2,0.0,0,0,1,0,0,1,0,0,0,0,0,0
77,85,3,Alicante,41,Sevilla,2022-09-04,7,0,0,25.8,0.0,23.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0
68240,70200,3,Alicante,46,Valencia/Valéncia,2022-09-04,7,0,0,25.8,0.0,26.2,0.0,0,0,1,0,0,0,0,1,0,0,0,0
2451,2807,8,Barcelona,3,Alicante,2022-09-04,7,0,0,25.6,0.0,25.8,0.0,0,0,1,0,0,0,0,1,0,0,0,0
8008,8571,8,Barcelona,28,Madrid,2022-09-04,7,0,0,25.6,0.0,21.9,0.0,0,0,1,0,0,1,0,0,0,0,0,0
1013,1196,8,Barcelona,30,Murcia,2022-09-04,7,0,0,25.6,0.0,27.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0
1061,1135,8,Barcelona,29,Málaga,2022-09-04,7,0,0,25.6,0.0,27.2,0.0,0,0,1,0,0,1,0,0,0,0,0,0
1014,1110,8,Barcelona,41,Sevilla,2022-09-04,7,0,0,25.6,0.0,23.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0
2764,2858,8,Barcelona,46,Valencia/Valéncia,2022-09-04,7,0,0,25.6,0.0,26.2,0.0,0,0,1,0,0,0,0,1,0,0,0,0
2789,2956,28,Madrid,3,Alicante,2022-09-04,7,0,0,21.9,0.0,25.8,0.0,1,0,0,0,0,0,0,1,0,0,0,0
8473,9115,28,Madrid,8,Barcelona,2022-09-04,7,0,0,21.9,0.0,25.6,0.0,1,0,0,0,0,0,0,1,0,0,0,0
766,799,28,Madrid,30,Murcia,2022-09-04,7,0,0,21.9,0.0,27.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0
3306,3433,28,Madrid,29,Málaga,2022-09-04,7,0,0,21.9,0.0,27.2,0.0,1,0,0,0,0,1,0,0,0,0,0,0
4221,4559,28,Madrid,41,Sevilla,2022-09-04,7,0,0,21.9,0.0,23.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0
4260,4611,28,Madrid,46,Valencia/Valéncia,2022-09-04,7,0,0,21.9,0.0,26.2,0.0,1,0,0,0,0,0,0,1,0,0,0,0
53762,56844,30,Murcia,3,Alicante,2022-09-04,7,0,0,27.0,0.0,25.8,0.0,1,0,0,0,0,0,0,1,0,0,0,0
1045,1199,30,Murcia,8,Barcelona,2022-09-04,7,0,0,27.0,0.0,25.6,0.0,1,0,0,0,0,0,0,1,0,0,0,0
865,886,30,Murcia,28,Madrid,2022-09-04,7,0,0,27.0,0.0,21.9,0.0,1,0,0,0,0,1,0,0,0,0,0,0
236,304,30,Murcia,29,Málaga,2022-09-04,7,0,0,27.0,0.0,27.2,0.0,1,0,0,0,0,1,0,0,0,0,0,0
107,146,30,Murcia,41,Sevilla,2022-09-04,7,0,0,27.0,0.0,23.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0
4327,4391,30,Murcia,46,Valencia/Valéncia,2022-09-04,7,0,0,27.0,0.0,26.2,0.0,1,0,0,0,0,0,0,1,0,0,0,0
303,398,29,Málaga,3,Alicante,2022-09-04,7,0,0,27.2,0.0,25.8,0.0,1,0,0,0,0,0,0,1,0,0,0,0
1016,1143,29,Málaga,8,Barcelona,2022-09-04,7,0,0,27.2,0.0,25.6,0.0,1,0,0,0,0,0,0,1,0,0,0,0
5065,5198,29,Málaga,28,Madrid,2022-09-04,7,0,0,27.2,0.0,21.9,0.0,1,0,0,0,0,1,0,0,0,0,0,0
705,764,29,Málaga,30,Murcia,2022-09-04,7,0,0,27.2,0.0,27.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0
21156,21590,29,Málaga,41,Sevilla,2022-09-04,7,0,0,27.2,0.0,23.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0
202,225,29,Málaga,46,Valencia/Valéncia,2022-09-04,7,0,0,27.2,0.0,26.2,0.0,1,0,0,0,0,0,0,1,0,0,0,0
52,59,41,Sevilla,3,Alicante,2022-09-04,7,0,0,23.0,0.0,25.8,0.0,1,0,0,0,0,0,0,1,0,0,0,0
1180,1427,41,Sevilla,8,Barcelona,2022-09-04,7,0,0,23.0,0.0,25.6,0.0,1,0,0,0,0,0,0,1,0,0,0,0
4594,4931,41,Sevilla,28,Madrid,2022-09-04,7,0,0,23.0,0.0,21.9,0.0,1,0,0,0,0,1,0,0,0,0,0,0
71,110,41,Sevilla,30,Murcia,2022-09-04,7,0,0,23.0,0.0,27.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0
16192,16551,41,Sevilla,29,Málaga,2022-09-04,7,0,0,23.0,0.0,27.2,0.0,1,0,0,0,0,1,0,0,0,0,0,0
318,489,41,Sevilla,46,Valencia/Valéncia,2022-09-04,7,0,0,23.0,0.0,26.2,0.0,1,0,0,0,0,0,0,1,0,0,0,0
45533,47072,46,Valencia/Valéncia,3,Alicante,2022-09-04,7,0,0,26.2,0.0,25.8,0.0,0,0,1,0,0,0,0,1,0,0,0,0
3177,3278,46,Valencia/Valéncia,8,Barcelona,2022-09-04,7,0,0,26.2,0.0,25.6,0.0,0,0,1,0,0,0,0,1,0,0,0,0
5352,5749,46,Valencia/Valéncia,28,Madrid,2022-09-04,7,0,0,26.2,0.0,21.9,0.0,0,0,1,0,0,1,0,0,0,0,0,0
3479,3532,46,Valencia/Valéncia,30,Murcia,2022-09-04,7,0,0,26.2,0.0,27.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0
146,166,46,Valencia/Valéncia,29,Málaga,2022-09-04,7,0,0,26.2,0.0,27.2,0.0,0,0,1,0,0,1,0,0,0,0,0,0
326,485,46,Valencia/Valéncia,41,Sevilla,2022-09-04,7,0,0,26.2,0.0,23.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0
2479,2797,3,Alicante,8,Barcelona,2022-09-05,1,0,0,26.6,0.0,26.1,0.0,0,0,1,0,0,0,0,1,0,0,0,0
3515,3689,3,Alicante,28,Madrid,2022-09-05,1,0,0,26.6,0.0,21.8,0.0,0,0,1,0,0,1,0,0,0,0,0,0
61108,67856,3,Alicante,30,Murcia,2022-09-05,1,0,0,26.6,0.0,27.6,0.0,0,0,1,0,0,0,0,1,0,0,0,0
153,222,3,Alicante,29,Málaga,2022-09-05,1,0,0,26.6,0.0,27.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
80,171,3,Alicante,41,Sevilla,2022-09-05,1,0,0,26.6,0.0,23.7,0.0,0,0,1,0,0,1,0,0,0,0,0,0
54050,56498,3,Alicante,46,Valencia/Valéncia,2022-09-05,1,0,0,26.6,0.0,26.8,0.0,0,0,1,0,0,0,0,1,0,0,0,0
2534,2789,8,Barcelona,3,Alicante,2022-09-05,1,0,0,26.1,0.0,26.6,0.0,0,0,1,0,0,0,0,1,0,0,0,0
10010,10637,8,Barcelona,28,Madrid,2022-09-05,1,0,0,26.1,0.0,21.8,0.0,0,0,1,0,0,1,0,0,0,0,0,0
1222,1356,8,Barcelona,30,Murcia,2022-09-05,1,0,0,26.1,0.0,27.6,0.0,0,0,1,0,0,0,0,1,0,0,0,0
1191,1349,8,Barcelona,29,Málaga,2022-09-05,1,0,0,26.1,0.0,27.4,0.0,0,0,1,0,0,0,0,1,0,0,0,0
1283,1418,8,Barcelona,41,Sevilla,2022-09-05,1,0,0,26.1,0.0,23.7,0.0,0,0,1,0,0,1,0,0,0,0,0,0
3797,3907,8,Barcelona,46,Valencia/Valéncia,2022-09-05,1,0,0,26.1,0.0,26.8,0.0,0,0,1,0,0,0,0,1,0,0,0,0
3027,3241,28,Madrid,3,Alicante,2022-09-05,1,0,0,21.8,0.0,26.6,0.0,1,0,0,0,0,0,0,1,0,0,0,0
